DATAFLOW,LAST UPDATE,freq,frequenc,isced11,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,DK,2022,87.9,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,EE,2006,87.4,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,EE,2015,90.6,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,EE,2022,82.7,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,EL,2006,80.2,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,EL,2015,75.0,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,EL,2022,68.0,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,ES,2006,89.3,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,ES,2015,78.3,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,ES,2022,81.6,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,EU27_2020,2015,82.5,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,FI,2006,94.1,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,FI,2015,94.8,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,FI,2022,72.4,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,FR,2006,93.4,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,FR,2015,91.4,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,FR,2022,77.8,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,HR,2015,81.0,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,HR,2022,83.1,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,HU,2006,81.2,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,HU,2015,73.7,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,HU,2022,68.3,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,IE,2006,88.0,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,IE,2015,93.4,u,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,IE,2022,77.7,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,IS,2006,98.5,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,IS,2015,98.7,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,IT,2006,88.3,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,IT,2015,72.5,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,IT,2022,70.6,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,LT,2006,87.0,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,LT,2015,93.0,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,LT,2022,73.3,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,LU,2006,94.4,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,LU,2015,96.0,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,LU,2022,96.1,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,LV,2006,84.8,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,LV,2015,88.0,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,LV,2022,53.5,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,ME,2015,75.3,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,ME,2022,59.7,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,MK,2015,57.4,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,MT,2006,72.5,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,MT,2015,62.7,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,MT,2022,36.7,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,NL,2006,93.4,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,NL,2015,92.7,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,NL,2022,87.6,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,NO,2006,96.7,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,NO,2015,97.8,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,NO,2022,87.8,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,PL,2006,86.8,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,PL,2015,85.4,u,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,PL,2022,85.9,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,PT,2006,91.6,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,PT,2015,86.6,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,PT,2022,80.6,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,RO,2015,53.4,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,RO,2022,36.2,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,RS,2015,78.5,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,RS,2022,76.7,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,SE,2006,92.4,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,SE,2015,87.9,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,SE,2022,84.6,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,SI,2006,94.0,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,SI,2015,91.8,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,SI,2022,73.5,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,SK,2006,93.5,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,SK,2015,89.5,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,SK,2022,74.6,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,TR,2022,33.6,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,UK,2006,82.7,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,M,PC,UK,2015,79.2,u,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,T,PC,AL,2022,48.8,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,T,PC,AT,2006,87.5,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,T,PC,AT,2015,88.8,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,T,PC,AT,2022,80.6,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,T,PC,BE,2006,88.2,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,T,PC,BE,2015,85.4,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,T,PC,BE,2022,77.6,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,T,PC,BG,2006,51.1,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,T,PC,BG,2015,47.7,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,T,PC,BG,2022,25.8,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,T,PC,CH,2015,97.4,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,T,PC,CH,2022,96.0,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,T,PC,CY,2006,88.3,,
ESTAT:ILC_SCP01(1.0),10/10/25 11:00:00,A,GE1,ED0-2,Y16-24,T,PC,CY,2015,82.9,,
